B,Li1Cs,Li2Cs,Li3Cs
800,12.48336765,-8.362468093,-16.17086178
800.02,12.50235839,-8.357243819,-16.16882301
800.04,12.52136695,-8.352015689,-16.16678227
800.06,12.54039284,-8.346783828,-16.16473959
800.0799999999999,12.55943623,-8.341547963,-16.16269476
800.0999999999999,12.57849748,-8.336308271,-16.16064793
800.1199999999999,12.59757621,-8.331064606,-16.1585989
800.1399999999999,12.6166726,-8.325817188,-16.15654778
800.1599999999999,12.63578646,-8.320565786,-16.15449445
800.1799999999998,12.65491815,-8.315310495,-16.1524389
800.1999999999998,12.67406771,-8.31005128,-16.15038109
800.2199999999998,12.6932347,-8.304788161,-16.14832093
800.2399999999998,12.71241976,-8.299521064,-16.14625845
800.2599999999998,12.73162259,-8.294249969,-16.14419358
800.2799999999997,12.75084289,-8.288974956,-16.14212625
800.2999999999997,12.77008133,-8.283696066,-16.14005644
800.3199999999997,12.78933763,-8.278413181,-16.13798405
800.3399999999997,12.80861169,-8.273126178,-16.13590913
800.3599999999997,12.82790373,-8.267835269,-16.1338315
800.3799999999997,12.84721374,-8.262540443,-16.13175117
800.3999999999996,12.86654168,-8.25724152,-16.12966814
800.4199999999996,12.88588754,-8.251938614,-16.12758223
800.4399999999996,12.90525154,-8.24663168,-16.12549353
800.4599999999996,12.92463353,-8.241320608,-16.12340179
800.4799999999996,12.94403355,-8.236005651,-16.1213071
800.4999999999995,12.9634517,-8.230686608,-16.11920932
800.5199999999995,12.98288797,-8.225363473,-16.11710842
800.5399999999995,13.00234238,-8.220036242,-16.11500434
800.5599999999995,13.02181482,-8.214704933,-16.11289692
800.5799999999995,13.04130565,-8.209369671,-16.11078616
800.5999999999995,13.06081467,-8.204030153,-16.1086719
800.6199999999994,13.08034184,-8.1986866,-16.10655419
800.6399999999994,13.0998873,-8.19333887,-16.10443281
800.6599999999994,13.11945108,-8.187987107,-16.10230774
800.6799999999994,13.13903336,-8.18263122,-16.10017881
800.6999999999994,13.15863354,-8.177271157,-16.09804602
800.7199999999993,13.17825245,-8.171906772,-16.09590922
800.7399999999993,13.1978897,-8.16653846,-16.09376826
800.7599999999993,13.21754528,-8.161165835,-16.09162314
800.7799999999993,13.23721937,-8.155789082,-16.0894736
800.7999999999993,13.25691192,-8.150408155,-16.08731964
800.8199999999993,13.27662295,-8.145023017,-16.08516104
800.8399999999992,13.29635256,-8.139633718,-16.08299776
800.8599999999992,13.31610075,-8.134240106,-16.0808296
800.8799999999992,13.33586758,-8.128842296,-16.0786564
800.8999999999992,13.35565277,-8.123440204,-16.07647808
800.9199999999992,13.37545671,-8.11803391,-16.07429438
800.9399999999991,13.39527935,-8.112623462,-16.07210527
800.9599999999991,13.41512067,-8.10720858,-16.06991041
800.9799999999991,13.43498062,-8.101789502,-16.06770978
800.9999999999991,13.45485948,-8.096366168,-16.06550306
801.0199999999991,13.47475698,-8.090938436,-16.06329015
801.04,13.49467331,-8.085506421,-16.06107076
801.06,13.51460854,-8.080070168,-16.0588447
801.08,13.53456255,-8.074629464,-16.05661178
801.1,13.5545354,-8.069184531,-16.05437171
801.12,13.57452719,-8.063735177,-16.05212419
801.14,13.59453786,-8.058281554,-16.04986903
801.16,13.61456751,-8.052823474,-16.04760589
801.1799999999989,13.63461616,-8.047361064,-16.04533453
801.1999999999989,13.65468377,-8.041894142,-16.0430546
801.2199999999989,13.67477053,-8.036422898,-16.04076574
801.2399999999989,13.6948762,-8.030947343,-16.0384676
801.2599999999989,13.71500108,-8.025467256,-16.03615981
801.2799999999988,13.73514506,-8.019982688,-16.03384199
801.2999999999988,13.7553081,-8.014493829,-16.0315138
801.3199999999988,13.77549033,-8.009000452,-16.02917462
801.3399999999988,13.79569185,-8.00350252,-16.02682407
801.3599999999988,13.81591248,-7.998000077,-16.0244617
801.3799999999987,13.83615243,-7.992493295,-16.02208686
801.3999999999987,13.85641166,-7.986981999,-16.01969909
801.4199999999987,13.8766902,-7.981466172,-16.01729776
801.4399999999987,13.89698798,-7.975945768,-16.01488214
801.4599999999987,13.91730532,-7.970420845,-16.01245169
801.4799999999987,13.93764186,-7.96489143,-16.01000552
801.4999999999986,13.95799792,-7.95935748,-16.00754296
801.5199999999986,13.97837342,-7.953818908,-16.00506309
801.5399999999986,13.99876844,-7.948275788,-16.00256503
801.5599999999986,14.01918285,-7.942728109,-16.00004791
801.5799999999986,14.03961689,-7.937175627,-15.99751055
801.5999999999985,14.06007053,-7.931618812,-15.9949519
801.6199999999985,14.08054367,-7.926057226,-15.99237073
801.6399999999985,14.10103645,-7.920491029,-15.9897657
